IDconv,ID,adj.P.Val,P.Value,t,B,logFC,ensembl_gene_id,hgnc_symbol
1,1_at,0.525,0.204,-1.3061833,-5.538411,-0.2622915,ENSG00000121410,A1BG
2,2_at,0.575,0.247,1.1883679,-5.677718,0.2007887,ENSG00000175899,A2M
3,3_at,0.776,0.491,0.7000181,-6.126034,0.1525578,ENSG00000256069,A2MP1
9,9_at,0.952,0.859,0.1794695,-6.3552,0.0326015,ENSG00000171428,NAT1
10,10_at,0.896,0.725,-0.3560715,-6.307486,-0.0630395,ENSG00000156006,NAT2
12,12_at,0.319,0.0784,-1.8396589,-4.773563,-1.0690274,ENSG00000196136,SERPINA3
13,13_at,0.954,0.863,0.1745744,-6.356076,0.0302715,ENSG00000114771,AADAC
14,14_at,0.495,0.182,-1.3748861000000001,-5.451949,-0.342104,ENSG00000127837,AAMP
15,15_at,0.991,0.972,-0.035368,-6.370861,-0.0072731,ENSG00000129673,AANAT
16,16_at,0.269,0.0583,-1.9897699,-4.522817,-0.3446582,ENSG00000090861,AARS1
18,18_at,0.0208,9.18e-4,3.7881799,-0.740295,1.2763316,ENSG00000183044,ABAT
19,19_at,0.362,0.099,-1.7174044,-4.966942,-0.5549651,ENSG00000165029,ABCA1
20,20_at,0.053900000000000003,0.00425,-3.1632021,-2.172117,-0.6569273,ENSG00000107331,ABCA2
21,21_at,0.0349,0.00207,-3.4604206,-1.500745,-0.9849705,ENSG00000167972,ABCA3
22,22_at,0.371,0.103,1.6961345,-4.999547,0.3798622,ENSG00000131269,ABCB7
23,23_at,0.0779,0.0075,-2.9243611,-2.694766,-0.4973998,ENSG00000204574,ABCF1
23,23_at,0.0779,0.0075,-2.9243611,-2.694766,-0.4973998,ENSG00000225989,ABCF1
23,23_at,0.0779,0.0075,-2.9243611,-2.694766,-0.4973998,ENSG00000236149,ABCF1
23,23_at,0.0779,0.0075,-2.9243611,-2.694766,-0.4973998,ENSG00000231129,ABCF1
23,23_at,0.0779,0.0075,-2.9243611,-2.694766,-0.4973998,ENSG00000232169,ABCF1
23,23_at,0.0779,0.0075,-2.9243611,-2.694766,-0.4973998,ENSG00000206490,ABCF1
23,23_at,0.0779,0.0075,-2.9243611,-2.694766,-0.4973998,ENSG00000236342,ABCF1
24,24_at,0.792,0.52,-0.6533512,-6.157381,-0.1042525,ENSG00000198691,ABCA4
25,25_at,0.124,0.0156,-2.6052006,-3.363152,-0.6038368,ENSG00000097007,ABL1
26,26_at,0.126,0.0162,2.5886035,-3.396823,1.3475505,ENSG00000002726,AOC1
27,27_at,0.599,0.268,-1.1353982,-5.736564,-0.2635978,ENSG00000143322,ABL2
28,28_at,0.0871,0.00903,2.84497,-2.864511,0.6667081,ENSG00000175164,ABO
28,28_at,0.0871,0.00903,2.84497,-2.864511,0.6667081,ENSG00000281879,ABO
29,29_at,0.00403,5.78e-5,-4.8859949,1.875344,-0.8729109,ENSG00000276016,ABR
29,29_at,0.00403,5.78e-5,-4.8859949,1.875344,-0.8729109,ENSG00000159842,ABR
29,29_at,0.00403,5.78e-5,-4.8859949,1.875344,-0.8729109,ENSG00000278741,ABR
30,30_at,0.202,0.0352,2.2336412,-4.086765,0.6961858,ENSG00000060971,ACAA1
31,31_at,0.482,0.172,-1.4074082,-5.40971,-0.2270028,ENSG00000278540,ACACA
31,31_at,0.482,0.172,-1.4074082,-5.40971,-0.2270028,ENSG00000275176,ACACA
32,32_at,0.0136,4.64e-4,4.0606087,-0.097252,0.7351678,ENSG00000076555,ACACB
33,33_at,0.0798,0.00789,2.9028138,-2.741047,1.17586,ENSG00000115361,ACADL
34,34_at,0.00646,1.29e-4,4.5690356,1.116572,1.1110044,ENSG00000117054,ACADM
35,35_at,0.576,0.248,1.1851785,-5.681329,0.32773,ENSG00000122971,ACADS
36,36_at,0.0354,0.00214,3.4468747,-1.531769,1.2972727,ENSG00000196177,ACADSB
37,37_at,0.637,0.308,-1.0417389,-5.83471,-0.1748608,ENSG00000072778,ACADVL
38,38_at,0.014,4.78e-4,4.0488398,-0.125181,1.2215821,ENSG00000075239,ACAT1
39,39_at,0.811,0.552,-0.6039304,-6.188303,-0.1420253,ENSG00000120437,ACAT2
40,40_at,0.929,0.798,-0.2582579,-6.337778,-0.0568247,ENSG00000108684,ASIC2
41,41_at,0.873,0.673,0.4277987,-6.279213,0.0770988,ENSG00000110881,ASIC1
43,43_at,0.924,0.782,0.2793233,-6.332063,0.0507259,ENSG00000087085,ACHE
47,47_at,0.0784,0.00761,-2.9181408,-2.708142,-0.63957869999999994,ENSG00000131473,ACLY
48,48_at,0.0531,0.00414,3.1745376,-2.146905,0.8490679,ENSG00000122729,ACO1
