ID	adj.P.Val	P.Value	t	B	logFC
101928784_at	1.10e-08	4.29e-13	14.2523966	18.758339	2.662728
101926962_at	6.10e-07	4.77e-11	11.3526043	14.79878	2.9172108
1577_at	2.07e-06	2.43e-10	10.4597462	13.371062	2.5559153
23015_at	2.08e-06	3.25e-10	10.304605	13.111846	2.701359
594837_at	8.09e-06	1.58e-09	9.4893214	11.693031	2.1113964
692227_at	1.50e-05	3.52e-09	9.0921822	10.966509	3.0476952
150709_at	1.95e-05	5.34e-09	8.8899088	10.587352	1.5393328
101929529_at	2.58e-05	8.80e-09	8.6495989	10.128814	2.6967334
84460_at	2.58e-05	9.07e-09	8.6352832	10.10122	2.1001537
64651_at	4.22e-05	1.65e-08	8.3532379	9.551164	1.4958972
1950_at	4.85e-05	2.17e-08	8.2253272	9.297685	3.0345406
26775_at	4.85e-05	2.39e-08	8.1807846	9.208826	2.0304655
100506413_at	4.85e-05	2.46e-08	8.1671401	9.181545	1.8624807
100272228_at	5.97e-05	3.27e-08	8.0368802	8.919666	1.6398434
5314_at	6.72e-05	3.94e-08	7.9513964	8.746392	2.5035652
10095_at	7.58e-05	4.96e-08	-7.8472991	8.533879	-1.9863968
7351_at	7.58e-05	5.04e-08	-7.8398282	8.518564	-2.7072693
677847_at	8.16e-05	5.74e-08	7.7809444	8.397554	2.8320296
619568_at	8.86e-05	6.58e-08	7.7192344	8.270169	2.6917495
153396_at	1.14e-04	8.90e-08	7.584295	7.989605	1.44635
79709_at	1.17e-04	9.80e-08	-7.5414078	7.899858	-1.8738167
9481_at	1.17e-04	1.01e-07	7.5290824	7.874015	1.974438
654319_at	1.18e-04	1.10e-07	7.4891798	7.79019	2.8850122
5166_at	1.18e-04	1.13e-07	7.4790284	7.768827	1.9766428
6892_at	1.18e-04	1.16e-07	-7.4677421	7.745057	-1.1615476
1007_at	1.21e-04	1.23e-07	7.4392206	7.684903	2.1682696
101926906_at	1.26e-04	1.33e-07	7.4049663	7.612497	2.647469
379013_at	1.53e-04	1.68e-07	7.303334	7.396639	2.3349731
55779_at	1.58e-04	1.79e-07	7.2760525	7.338434	1.3761424
100507650_at	1.66e-04	1.96e-07	7.2361094	7.253018	1.7453975
399670_at	1.66e-04	2.01e-07	7.225376	7.230025	1.6795494
633_at	1.74e-04	2.18e-07	-7.1898453	7.153791	-1.4284398
7791_at	1.79e-04	2.31e-07	-7.1647544	7.099845	-2.2413523
359845_at	1.88e-04	2.49e-07	-7.1307088	7.026499	-2.1309612
5045_at	1.88e-04	2.57e-07	-7.1172234	6.997399	-1.2583993
1843_at	2.06e-04	2.93e-07	7.0608516	6.875473	1.4627893
387700_at	2.06e-04	2.98e-07	7.0538113	6.860213	3.1471981
100507027_at	2.06e-04	3.06e-07	7.0414802	6.833469	2.8613454
10529_at	2.09e-04	3.19e-07	7.0241484	6.795841	1.807057
7076_at	2.42e-04	3.81e-07	-6.9470261	6.627883	-1.319897
